﻿unique_identifier,checkmark_completed,status,century,year_to_display,year_to_sort,place,revolt_name,description,encoded_description,citations,resource_links,video_link,latitude,longitude,lat-long_precision,presentation_folder,notes,remediation,graphic_artists
BJcH7L,TRUE,,1600,1639,1639,St. Kitts,,"(Insert image 1) ""Some sixty slaves on the Caribbean island of St. Kitts fled the plantations of their French masters due to their cruelty and briefly maintained themselves in the surrounding jungles from where they launched attacks on the plantations."" (Image 2) Most of the escapees were eventually executed or returned to slavery, burned alive, hung, drawn, quartered, and their bodies put on display.  One man eluded capture for three years, and two infantries were dispatched at different times to subdue him. In the first attempt, their guns failed to go off, probably due to the humidity in the mountain, leading people to think he had supernatural powers.  (Image 3) The governor dispatched another unit, and he was shot in the head, his body dismembered and put on display to deter others from revolting.  (Image 4)","<img src=""/image1""> ""Some sixty slaves on the Caribbean island of St. Kitts fled the plantations of their French masters due to their cruelty and briefly maintained themselves in the surrounding jungles from where they launched attacks on the plantations."" <img src=""/image2""> Most of the escapees were eventually executed or returned to slavery, burned alive, hung, drawn, quartered, and their bodies put on display. One man eluded capture for three years, and two infantries were dispatched at different times to subdue him. In the first attempt, their guns failed to go off, probably due to the humidity in the mountain, leading people to think he had supernatural powers. <img src=""/image3""> The governor dispatched another unit, and he was shot in the head, his body dismembered and put on display to deter others from revolting. <img src=""/image4"">","Victoria Borg O' Flaherty in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez ,eds. Greenwood Press: 2006, pp. 437-438.   https://www.historicstkitts.kn/people/the-runaway-of-mount-misery-1639",,,17.3578,-62.783,Precise,https://drive.google.com/drive/folders/1OA5jO3qBoFfIPbebhAwlgGdJEirzCXv-?usp=sharing,,,Lori Wushensky
njF6Gh,TRUE,,1600,1649,1649,Brazil,,"(Insert Image 1) The Palmares Quilombo slave community in Brazil was one of the largest in their history. At its peak, it had between 20-30,000 escaped slaves, Indians, and poor whites. They had a robust economy of trade and production of necessities; they also traded with whites for munitions that they used during their frequent raids on surrounding plantations.( Insert Image 2) Under King Zumba, they had many victorious battles against the Portuguese, but later the King signed a treaty with them for the sanctuary of himself and some of the members. Of course, the Portuguese did not honor the agreement, and many Blacks were sold into slavery, and the King was poisoned by one of his own. King Zumba's heir, Zumbi, continued resisting the Portuguese until he was betrayed by a former comrade and killed by the Portuguese.","<img src=""/image1""> The Palmares Quilombo slave community in Brazil was one of the largest in their history. At its peak, it had between 20-30,000 escaped slaves, Indians, and poor whites. They had a robust economy of trade and production of necessities; they also traded with whites for munitions that they used during their frequent raids on surrounding plantations.<img src=""/image2""> Under King Zumba, they had many victorious battles against the Portuguese, but later the King signed a treaty with them for the sanctuary of himself and some of the members. Of course, the Portuguese did not honor the agreement, and many Blacks were sold into slavery, and the King was poisoned by one of his own. King Zumba's heir, Zumbi, continued resisting the Portuguese until he was betrayed by a former comrade and killed by the Portuguese.","Mark G. Jaede in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez,eds. Greenwood Press: 2006, pp.367-370.                                       Palmares (ca. 1605-1694) • - Blackpast",https://youtu.be/T77GRyXsxZ8,,-8.8137,-36.9541,Approximate,https://drive.google.com/drive/folders/1i-qpV-ByTNUYK9AUyIYLgsmJ5ikc2ds3?usp=sharing,,,
PtIByP,TRUE,,1600,1649,1649,Barbados,,"(Insert Image of map) There were three revolts in Barbados before the infamous Bussa's rebellion in 1816.  Due to the heavy military fortification and the flat terrain, there was nowhere to hide, as the entire island was covered with plantations.  In 1649 there was a rebellion caused by the food shortage that was quickly suppressed.  In 1675 after three years of planning, a slave named Fortuna leaked the plans, leading to over 100 enslaved people being arrested and tortured.  Forty Blacks were beheaded or burned alive; others committed suicide before being tortured.  In 1692, over 200 slaves were involved in a rebellion that led to the execution of 90 people.","(Insert Image of map) There were three revolts in Barbados before the infamous Bussa's rebellion in 1816. Due to the heavy military fortification and the flat terrain, there was nowhere to hide, as the entire island was covered with plantations. In 1649 there was a rebellion caused by the food shortage that was quickly suppressed. In 1675 after three years of planning, a slave named Fortuna leaked the plans, leading to over 100 enslaved people being arrested and tortured. Forty Blacks were beheaded or burned alive; others committed suicide before being tortured. In 1692, over 200 slaves were involved in a rebellion that led to the execution of 90 people.",https://www.globalsecurity.org/military/world/war/bussa.htm,,,13.1939,-59.5432,Precise,https://drive.google.com/drive/folders/1TgOgB6KfVPxkGLaggo0J5eFH3mbNO4Lh?usp=sharing,"Same text as 1692, there was a 1649 folder in the drive but not on the spreadsheet",,
qI4zrO,TRUE,,1700,1704,1704,Barbados,,(image)Slaves executed in an attempt to burn down Bridgetown and take the fort.,"<img src=""/image1""> Slaves executed in an attempt to burn down Bridgetown and take the fort.","Hilary Beckles, Black Rebellion in Barbados: The Struggle against Slavery, 1627-1838. Bridgetown: Antilles Publications, 1987. 1704 Barboda_image1",https://en.wikipedia.org/wiki/Garrison_Historic_Area#/media/File:Pg236_StAnns_Garrison_in_Barbados.jpg,,13.1939,-59.5432,Approximate,https://drive.google.com/drive/folders/1P-AUtGC0h3PT0w964YiEb91n9dcY13FF?usp=share_link,,,
61Z4je,TRUE,,1700,1708,1708,"Queens County, New York",,"(Insert image 1)This revolt is significant because it was masterminded and led by a woman with the assistance of an Indian man and another couple. The root cause was said that ""they were restrained from going abroad on Sabbath days.""  The two killed the master, his pregnant wife, and five children and had planned to pen it on others. It was found that this was only the first stage of an even broader revolt. The four were tried and executed; the women were burned alive based on British common law.","<img src=""/image1""> This revolt is significant because it was masterminded and led by a woman with the assistance of an Indian man and another couple. The root cause was said that ""they were restrained from going abroad on Sabbath days.""  The two killed the master, his pregnant wife, and five children and had planned to pen it on others. It was found that this was only the first stage of an even broader revolt. The four were tried and executed; the women were burned alive based on British common law.","Rebecca Hall in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez, eds. Greenwood Press: 2006: pp. 351-353.1708 New York_image1 Face2faceafrica.com (Elizabeth Ofosuah Johnson)","https://face2faceafrica.com/article/this-black-woman-became-the-first-slave-in-ecuador-to-win-her-freedom-in-the-1700s Johnson, Elizabeth Ofosuah. ""This Black Woman Became the First Slave in Ecuador to Win Her Freedom in the 1700s."" Face2Face Africa, 24 Aug. 2018, https://face2faceafrica.com/article/this-black-woman-became-the-first-slave-in-ecuador-to-win-her-freedom-in-the-1700s.",,40.7282,-73.7949,Precise,https://drive.google.com/drive/folders/1gH0qETYTQoVK2quxHJF3qy9OfV7gDdLg?usp=share_link,,,
wmMiBz,TRUE,,1700,1709,1709,"Williamsburg, Virginia",,"(Image 1) ""Slaves, allegedly acting in alliance with local Native Americans, plot a rebellion in the three counties surrounding Williamsburg, the capital of colonial Virginia; the planned revolt is quickly suppressed."" Three of the four planners of the revolt were captured, and the fourth one eluded the authorities. The planters severely punished the enslaved to discourage others from revolting.","<img src=""/image1""> ""Slaves, allegedly acting in alliance with local Native Americans, plot a rebellion in the three counties surrounding Williamsburg, the capital of colonial Virginia; the planned revolt is quickly suppressed."" Three of the four planners of the revolt were captured, and the fourth one eluded the authorities. The planters severely punished the enslaved to discourage others from revolting.","Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez, eds. Greenwood Press: 2006: pp.565-566.","image 1:https://research.colonialwilliamsburg.org/Foundation/journal/Winter05-06/conspiracy.cfm (Colonial Williamburg) ""The Research Microsite."" Slave Conspiracies in Colonial Virginia | The Colonial Williamsburg Official History & Citizenship Site, https://research.colonialwilliamsburg.org/Foundation/journal/Winter05-06/conspiracy.cfm.",,37.2707,-76.7075,Precise,https://drive.google.com/drive/folders/1EoN1gK0ogl0mIksAFTjFy4Uq-bTigGMB?usp=share_link,,,
NQBEeq,TRUE,,1700,1712,1712,New York,,"(Insert Image) Whites, still stunned by the 1708 murder of a white family, were very paranoid and sensitive to any sign of a revolt. The plan was launched on Sunday, April 6th, as Sabbath was designated by law as a day of worship. The rebels organized and took a blood oath of secrecy and had magic powder sprinkled on themselves as protection from bullets. They set fire to the outhouse, attacked and killed nine whites, and injured seven others when the whites appeared. The Black slaves were captured, and six committed suicide instead of going to trial. ""Thirty-nine slaves stood trial for murder, witnesses were called to provide testimony, and surprisingly thirteen slaves were acquitted and an additional three slaves were later pardoned. A pregnant rebel had her execution suspended, and Britain's Queen Anne pardoned a slave named Marrs, as well as the Spanish Indians who had participated"".","<img src=""/image1""> Whites, still stunned by the 1708 murder of a white family, were very paranoid and sensitive to any sign of a revolt. The plan was launched on Sunday, April 6th, as Sabbath was designated by law as a day of worship. The rebels organized and took a blood oath of secrecy and had magic powder sprinkled on themselves as protection from bullets. They set fire to the outhouse, attacked and killed nine whites, and injured seven others when the whites appeared. The Black slaves were captured, and six committed suicide instead of going to trial. ""Thirty-nine slaves stood trial for murder, witnesses were called to provide testimony, and surprisingly thirteen slaves were acquitted and an additional three slaves were later pardoned. A pregnant rebel had her execution suspended, and Britain's Queen Anne pardoned a slave named Marrs, as well as the Spanish Indians who had participated"".","Cheryl A. Wells in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez ,eds. Greenwood Press: 2006,pp. 349-351. Image “New York Slave Revolt of 1712.” Wikipedia, 6 Apr. 2023, en.wikipedia.org/wiki/New_York_Slave_Revolt_of_1712",,Has Video,40.85656,-74.57492,,https://drive.google.com/drive/folders/1dhw7T4POG0Rjz4-OBniXNXvPmz4ni9Qr?usp=sharing,,,
If6P8h,TRUE,,1700,1716,1716,Curacao,,"(Image 1)First slave rebellion in Dutch Caribbean colony. This revolt was led by Tula, another man and a woman.  They successfully organized the enslaved on many plantations.  They marched to each one and encouraged others to join in.  Before being subdued they had many participants.  Curacao has the most comprehensive museum on slavery in the Western Hemisphere, the Kura Hulauda. Image commemorates the 1795 Rebellion.(Image 2)","<img src=""/image1""> First slave rebellion in Dutch Caribbean colony. This revolt was led by Tula, another man and a woman.  They successfully organized the enslaved on many plantations.  They marched to each one and encouraged others to join in.  Before being subdued they had many participants.  Curacao has the most comprehensive museum on slavery in the Western Hemisphere, the Kura Hulauda. Image commemorates the 1795 Rebellion. <img src=""/image2"">",http://eventscuracao.com/a-mosaic-of-deep-rooted-history/,http://eventscuracao.com/a-mosaic-of-deep-rooted-history/,,12.1696,-68.99,,https://drive.google.com/drive/folders/1RHtZDEnEVVIizu4I1P_hypFF9kiNynAz?usp=share_link,Has movie trailer video,Missing/inaccurate image source,
3lD45x,TRUE,,1700,1720,1720,South Carolina,Primus Plot,"(Image 1)Primus Plot was the first serious plot in South Carolina. This plot came after the Yamasee War of 1715-1716 and was a precursor to the Stono Rebellion of 1739. The plan was to"".. destroy isolated plantations, recruit more rebels and then attack Charleston..."" an enslaved person named Andrew leaked the plan to the government. The fourteen Blacks who planned the revolt attempted to escape to Florida; however, they were captured, and the leader, Primus, was hung alive in chains.","<img src=""/image1""> Primus Plot was the first serious plot in South Carolina. This plot came after the Yamasee War of 1715-1716 and was a precursor to the Stono Rebellion of 1739. The plan was to"".. destroy isolated plantations, recruit more rebels and then attack Charleston..."" an enslaved person named Andrew leaked the plan to the government. The fourteen Blacks who planned the revolt attempted to escape to Florida; however, they were captured, and the leader, Primus, was hung alive in chains.","Rory T. Cornish in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez, eds. Greenwood Press: 2006, pp. 106-107.","image 1: https://en.wikipedia.org/wiki/Great_Dismal_Swamp_maroons (Fugitive Slaves in the Dismal Swamp, Virginia, by David Edward Cronin, 1888.)",,33.8361,-81.1637,Approximate,https://drive.google.com/drive/folders/1r0I4FafTHjhxL7ow3g0XbjEFyS1Gqsd-?usp=share_link,,,
HPjZ9Q,TRUE,,1700,1725,1725,Madagascar,,"(insert image 1) (insert image 2)The Malagasy Africans were on deck, watching the sailors, looking for signs of weakness. When one left to get a drink, the Africans grabbed an axe, and within seconds the others grabbed unsecured tools in a barrel and armed themselves with shackles and cannon balls from another barrel. One sailor who noticed the insurrection was killed right away; a few Africans who hadn't had their ankle irons locked could attack others (insert image 4). It took the Malagasy only a few minutes to seize the deck as the crew was not prepared to deal with this revolt, nor did they have access to weapons. The commotion got the attention of a ship nearby, the Alcyon, that tried to subdue the ship by firing a cannon and then sailing on small boats close to the ship, but the Africans found guns and shot at them (insert image 3). As the Vautour ran aground, many Africans jumped overboard; the French shot some on the Alcyon, but the other survivors ran away. The Vautour was beyond repair. This event limited the number of Africans taken from this country; this successful African mutiny on the French vessel the Vautour precipitated other insurrections.","<img src=""/image1""> <img src=""/image2""> The Malagasy Africans were on deck, watching the sailors, looking for signs of weakness. When one left to get a drink, the Africans grabbed an axe, and within seconds the others grabbed unsecured tools in a barrel and armed themselves with shackles and cannon balls from another barrel. One sailor who noticed the insurrection was killed right away; a few Africans who hadn't had their ankle irons locked could attack others <img src=""/image4"">. It took the Malagasy only a few minutes to seize the deck as the crew was not prepared to deal with this revolt, nor did they have access to weapons. The commotion got the attention of a ship nearby, the Alcyon, that tried to subdue the ship by firing a cannon and then sailing on small boats close to the ship, but the Africans found guns and shot at them <img src=""/image3"">. As the Vautour ran aground, many Africans jumped overboard; the French shot some on the Alcyon, but the other survivors ran away. The Vautour was beyond repair. This event limited the number of Africans taken from this country; this successful African mutiny on the French vessel the Vautour precipitated other insurrections.","image 1: https://mg.wikipedia.org/wiki/Tantaran'_i_Madagasikara (Dirck Jansz van Santen, Domain Public) image 2: https://commons.wikimedia.org/wiki/File:Africa_1745,_Guillaume_Delisle_(3993456-recto).jpg (North West University Library, Public Domain, De L'Isle, Guillaume) image 3: http://www.slaveryimages.org/s/slaveryimages/item/2009 (Le Magasin Pittoresque (1844), p. 52, Public Domain) image 4: http://www.slaveryimages.org/s/slaveryimages/item/2548 (Isabelle Aguet, A Pictorial History of the Slave Trade (Geneva: Editions Minerva, 1971), plate 64, p.71.)",,,-18.7669,46.8691,Approximate,https://drive.google.com/drive/folders/1uVVz7_8HrPYT3bnfbS3CbAXBZ_xdbhrl?usp=share_link,,,
dtiVfe,TRUE,,1700,1725,1725,Nevis,,"(Image 3)During a drought, the working conditions of the enslaved became even harsher. As the slaves reached their breaking point, some conspired to ""cut off all the whites and take the island over for themselves."" (Image 1) Governor Hart responded by ""jailing 10 of the alleged conspirators and sentenced two others to be burnt to death; he pronounced the ""Negroes"" to be ""sufficiently terrified"" that they no longer constituted a threat to the island's security."" Information about the plot was third-hand gossip, so it's unknown if it was real, existed within the paranoia of the enslavers, or was wishful thinking by the enslaved. (Image 4)","<img src=""/image3"">During a drought, the working conditions of the enslaved became even harsher. As the slaves reached their breaking point, some conspired to ""cut off all the whites and take the island over for themselves."" <img src=""/image1""> Governor Hart responded by ""jailing 10 of the alleged conspirators and sentenced two others to be burnt to death; he pronounced the ""Negroes"" to be ""sufficiently terrified"" that they no longer constituted a threat to the island's security."" Information about the plot was third-hand gossip, so it's unknown if it was real, existed within the paranoia of the enslavers, or was wishful thinking by the enslaved. <img src=""/image4"">","image 1:http://www.suppressedhistories.net/secrethistory/stakenorth.html image 3:https://www.liverpoolmuseums.org.uk/slave-houses-st-kitts-and-nevis image 4:https://commons.wikimedia.org/wiki/File:Nevis_FrenchSlavetrade.jpg Zacek, Natalie (2007). ""Reading the Rebels: Currents of Black Resistance in the Eighteenth-Century British West Indies"". 2007-05-01. History in Focus (electronic journal published by the Institute of Historical Research) (http://www.history.ac.uk/ihr/Focus/Slavery/articles/zacek.html), 12(1).",Images: https://www.liverpoolmuseums.org.uk/ism/slavery/archaeology/caribbean/caribbean5.aspx https://repeatingislands.com/2010/04/17/archives-bring-history-of-slavery-in-st-kitts-and-nevis-to-life/,,17.3578,-62.783,Precise,https://drive.google.com/drive/folders/1EjelfwD1pSeuA7eTEPK16G-2bbX-RSh3?usp=sharing,,,
xqhBZz,TRUE,,1700,1725-1727,1725,Madagascar,,"1725, 1726, 1727 (insert image 1) (insert image 2) Insurrections believed to have been precipitated by the successful African mutiny of the French vessel the Vautour. The Africans were on deck and watching the sellers looking for signs of weakness when one left to get a drink, Africans grabbed an axe and within seconds the others grabbed tools that were unsecured in a barrel, they armed themselves with shackles and cannon balls from another barrel. One sailor who noticed the insurrection was killed right away a few of them hadn't had their ankle irons locked so they were able to attack others(insert image 4). It took the Malagasy only a few minutes to seize the deck the crew was not prepared to deal with this revolt nor did they have access to weapons. The commotion got the attention of a ship that was nearby, the Alcyon, that tried to subdue the ship by firing a cannon in it and then sailing on small boats close to the ship, but the Africans found guns and shot at them(insert image 3). As the Vautour ran aground, many Africans jumped overboard some were shot by the French on the Alcyon but the other survivors ran away The Vautour was beyond repair. This event limited the numbers of Africans taken from this country.","<img src=""/image1""> <img src=""/image2""> Insurrections believed to have been precipitated by the successful African mutiny of the French vessel the Vautour. The Africans were on deck and watching the sellers looking for signs of weakness when one left to get a drink, Africans grabbed an axe and within seconds the others grabbed tools that were unsecured in a barrel, they armed themselves with shackles and cannon balls from another barrel. One sailor who noticed the insurrection was killed right away a few of them hadn't had their ankle irons locked so they were able to attack others <img src=""/image4"">. It took the Malagasy only a few minutes to seize the deck the crew was not prepared to deal with this revolt nor did they have access to weapons. The commotion got the attention of a ship that was nearby, the Alcyon, that tried to subdue the ship by firing a cannon in it and then sailing on small boats close to the ship, but the Africans found guns and shot at them. <img src=""/image3""> As the Vautour ran aground, many Africans jumped overboard some were shot by the French on the Alcyon but the other survivors ran away The Vautour was beyond repair. This event limited the numbers of Africans taken from this country.","image 1: https://mg.wikipedia.org/wiki/Tantaran'_i_Madagasikara (Dirck Jansz van Santen, Domain Public) image 2: https://commons.wikimedia.org/wiki/File:Africa_1745,_Guillaume_Delisle_(3993456-recto).jpg (North West University Library, Public Domain, De L'Isle, Guillaume) image 3: http://www.slaveryimages.org/s/slaveryimages/item/2009 (Le Magasin Pittoresque (1844), p. 52, Public Domain) image 4: http://www.slaveryimages.org/s/slaveryimages/item/2548 (Isabelle Aguet, A Pictorial History of the Slave Trade (Geneva: Editions Minerva, 1971), plate 64, p.71.) Arne Bialuschewski, ""Anatomy of a Slave Insurrection: The Shipwreck of the ""Vautour"" on the West Coast of Madagascar in 1725"", French Colonial History. Vol. 12 (2011):92.",,,-18.7669,46.8691,,https://drive.google.com/drive/folders/1uVVz7_8HrPYT3bnfbS3CbAXBZ_xdbhrl?usp=sharing,JPG of ship-Barry doing voiceover,,
VeEfES,TRUE,,1700,1729,1729,Louisiana,Great Natchez Massacre,"(Image 3)The Great Natchez Massacre in 1729 was one of many occurrences where Africans aligned with the Indigenous in battling Europeans. (Insert 2)This attack erupted after failed negotiations between the Natchez and the French and their encroachment on sacred land. During the assault, the Natchez freed the enslaved people in hopes of inciting an insurrection. The combined force attacked a French settlement and killed approximately 200 of them, freed 275 enslaved people, leading to an established Maroon community in Mississippi. Despite their fear of an alliance between Africans and Indigenous people, the French were the first to arm the African captives. They conquered the Natchez with support from the Choctaw, Tunica, and Pro-French Natchez in 1730. When the Spanish took over the area, they abolished Indigenous slavery in 1763, increasing African enslavement.(Insert image 1)","The Great Natchez Massacre in 1729 was one of many occurrences where Africans aligned with the Indigenous in battling Europeans. This attack erupted after failed negotiations between the Natchez and the French and their encroachment on sacred land. During the assault, the Natchez freed the enslaved people in hopes of inciting an insurrection. The combined force attacked a French settlement and killed approximately 200 of them, freed 275 enslaved people, leading to an established Maroon community in Mississippi. Despite their fear of an alliance between Africans and Indigenous people, the French were the first to arm the African captives. They conquered the Natchez with support from the Choctaw, Tunica, and Pro-French Natchez in 1730. When the Spanish took over the area, they abolished Indigenous slavery in 1763, leading to increased African enslavement.<img src=""/image3""> <img src=""/image1""> <img src=""/image2"">","image 3: https://en.wikipedia.org/wiki/Natchez_revolt
image 2: https://www.granger.com/results.asp?inline=true&image=0176580&wwwflag=3&itemx=3 (For Sale)
image 1: https://www.flickr.com/photos/sunnybrook100/556969851 (Photo taken by Sunny Brook)","Natalie Zacek, Reading The Rebels: Currents Of Slave Resistance In The 18th Century British West Indies, history.ac.uk https://countryroadsmagazine.com/art-and-culture/history/the-natchez-war/",,30.9843,-91.9623,Approximate,https://drive.google.com/drive/folders/1nIJJklPrKvZsIwuZbRl30rDY8XG8H8LE?usp=share_link,,,Muthi
y8CW89,TRUE,,1700,1731,1731,Cuba,Santiago del Prado Revolt,"(Insert image 1) Santiago del Prado Revolt: In the 1500s, the Spanish settled near copper mines and brought Africans to work the mines but later abandoned them(image1). The formerly enslaved people settled their communities and maintained their worship of the Virgin Mary, which later became a unifying factor(image2). In 1731 the Spanish tried to re-enslave the Africans and take the rights they had received by becoming ""royal slaves""(image3). ""Between 1780 and 1800, the slaves struggled to gain freedom through flight, violence, and litigation. Finally, in April 1800, the Spanish crown granted their freedom in a royal edict.(image3)","<img src=""/image1""> Santiago del Prado Revolt: In the 1500s, the Spanish settled near copper mines and brought Africans to work the mines but later abandoned them(image1). The formerly enslaved people settled their communities and maintained their worship of the Virgin Mary, which later became a unifying factor. <img src=""/image2""> In 1731 the Spanish tried to re-enslave the Africans and take the rights they had received by becoming ""royal slaves."" <img src=""/image3""> ""Between 1780 and 1800, the slaves struggled to gain freedom through flight, violence, and litigation. Finally, in April 1800, the Spanish crown granted their freedom in a royal edict.","Ronald Young in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez ,eds. Greenwood Press: 2006:, pp. 147-148.image1:http://www.edwardianpromenade.com/history/the-sugar-industry-in-the-dominican-republic/ image2:https://wellcomecollection.org/articles/WpmW_yUAAKUUF6mV Image 3 : https://www.museodelprado.es/en/the-collection/art-work/the-storming-of-rheinfelden/ef6c5b5d-a737-4dc5-8fdf-824b5db74b61 Oil on canvas ""The storming of Rheinfelden"" by Carducho Vicente (P000637) owned by Museo Nacional del Prado",,,20.048,-75.945,Precise,https://drive.google.com/drive/folders/1d4tiisO3v4Axj0Z43NbDQ7U0aSE2LCM0?usp=share_link,Resource link not found,,Lori Wushensky
maDGtL,TRUE,,1700,1733,1733,St. John (Akwamu),,"(Image 6) The revolt in St. John, also known as the Akwamu Revolt, was one of the longest-lasting rebellions led by an identifiable ethnic group, the Amina from the Gold Coast of Africa, whose goal was to take over the island and maintain slave production under their rule. (Image 2)There were events leading up to the revolt of natural disasters: (Image 3) a drought; infestation that led to the destruction of crops and starvation. More stringent controls were enforced to prevent the Africans from running away, leading to the eventual revolt. Most whites fled the island, particularly those their loyal Blacks warned. (Image 7) The Dutch elicited the support of the British colonies from Tortola and St. Kitts to quell the revolt. Still, they were unsuccessful-it was the role of the Free Negro Corps infantry in combination with the French that led to their defeat. Ultimately, over 48 plantations out of 92 were destroyed-killing 87 Blacks and 29 whites. The French implored the leader to surrender, and a deal would ensue; however, as soon as he did, he was murdered. Other rebels committed suicide rather than face capture. (Images 4)","<img src=""/image1""> The revolt in St. John, also known as the Akwamu Revolt, was one of the longest-lasting rebellions led by an identifiable ethnic group, the Amina from the Gold Coast of Africa, whose goal was to take over the island and maintain slave production under their rule. <img src=""/image2""> There were events leading up to the revolt of natural disasters: <img src=""/image3""> a drought; infestation that led to the destruction of crops and starvation. More stringent controls were enforced to prevent the Africans from running away, leading to the eventual revolt. Most whites fled the island, particularly those their loyal Blacks warned. <img src=""/image4""> The Dutch elicited the support of the British colonies from Tortola and St. Kitts to quell the revolt. Still, they were unsuccessful-it was the role of the Free Negro Corps infantry in combination with the French that led to their defeat. Ultimately, over 48 plantations out of 92 were destroyed-killing 87 Blacks and 29 whites. The French implored the leader to surrender, and a deal would ensue; however, as soon as he did, he was murdered. Other rebels committed suicide rather than face capture. <img src=""/image5""> <img src=""/image6"">","Image 1: https://www.socialscienceandhistory12.com/2020/07/historyviii-lesson-3-ruling-countryside.html (The slave Revolt in Saint Domingue, August 1791) image2:https://face2faceafrica.com/article/the-story-of-breffu-a-female-slave-from-ghana-who-led-a-massive-slave-revolt-to-take-over-the-west-indies-in-1733 image3:https://newafrikan77.wordpress.com/page/116/?wref=pil image5:http://valeriesims.com/slave-revolt-st-jan-danish-west-indies-1733/ image5:https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiW1aTCld7mAhVSmuAKHdyhDNMQjB16BAgBEAM&url=https%3A%2F%2Fface2faceafrica.com%2Farticle%2Fthe-story-of-breffu-a-female-slave-from-ghana-who-led-a-massive-slave-revolt-to-take-over-the-west-indies-in-1733&psig=AOvVaw2kUat43BbXgceSxTeemhAI&ust=1577812426527547 image6:https://blackartblog.blackartdepot.com/black-history/akwamu-slave-revolt-1733.html ""Estate by Estate: The Landscape of the 1733 St. Jan Slave Rebellion,"" Holly Kathryn Norton https://surface.syr.edu/cgi/viewcontent.cgi?article=1103&context=ant_etd Lori Lee in Encyclopedia of Slave Resistance and Rebellion, Junius Rodriguez ,eds. Greenwood Press: 2006, pp. 435-437.",https://youtu.be/x7CcJ7wppII,,18.3368,-64.7281,Precise,https://drive.google.com/drive/folders/1rwtkOYd36_u32g3xcHEWfUg7hVwh2qtC?usp=share_link,,,
4bAUXh,TRUE,,1700,1736,1736,Antigua,,"(Image 1)Prince Klaas, an enslaved West African, coordinated an elaborate plot against the white rule in Antigua. The enslaved planned to kill all the island enslavers in a single explosion during a large ball held in St. John. They needed this opportunity to smuggle a 10-gallon barrel of gunpowder into the building to blow it up. (Insert image 2) The blast, seen for miles, would signal other enslaved people on their surrounding plantations to rise into action. After the massacre, Prince Klaas would be crowned as leader of a new black kingdom on the island. (Image 3) ""Of course, they were betrayed by their own, one slave gave all the details of the impending attack, and the existing magistrate thwarted it. (Insert image 4) After arrests and under interrogation with occasional torture, 32 enslaved people confessed their involvement, and 132 were convicted of participating. (Image image 5) Of this number, five, including Klaas, were broken on the wheel, six were gibbeted (hung in irons until they died of hunger and thirst), and 77 others were burned at the stake."" (Insert image 6)","<img src=""/image1""> Prince Klaas, an enslaved West African, coordinated an elaborate plot against the white rule in Antigua. The enslaved planned to kill all the island enslavers in a single explosion during a large ball held in St. John. They needed this opportunity to smuggle a 10-gallon barrel of gunpowder into the building to blow it up. <img src=""/image2""> The blast, seen for miles, would signal other enslaved people on their surrounding plantations to rise into action. After the massacre, Prince Klaas would be crowned as leader of a new black kingdom on the island. <img src=""/image3""> ""Of course, they were betrayed by their own, one slave gave all the details of the impending attack, and the existing magistrate thwarted it. <img src=""/image4""> After arrests and under interrogation with occasional torture, 32 enslaved people confessed their involvement, and 132 were convicted of participating. <img src=""/image5""> Of this number, five, including Klaas, were broken on the wheel, six were gibbeted (hung in irons until they died of hunger and thirst), and 77 others were burned at the stake."" <img src=""/image6"">",image 2: https://www.lookandlearn.com/history-images/XK157563/Antigua-natives-making-seed-work?t=0&q=antigua&n=20 image 3: https://www.smithsonianmag.com/history/antiguas-disputed-slave-conspiracy-of-1736-117569/ image 6: https://www.smithsonianmag.com/history/antiguas-disputed-slave-conspiracy-of-1736-117569/ image 7: https://www.smithsonianmag.com/history/antiguas-disputed-slave-conspiracy-of-1736-117569/ image 5: https://www.smithsonianmag.com/history/antiguas-disputed-slave-conspiracy-of-1736-117569/ image 1:https://www.bbc.com/news/world-latin-america-35633344,Read more: https://www.smithsonianmag.com/history/antiguas-disputed-slave-conspiracy-of-1736 http://ceylon-ananda.com/unearthing-antiguas-slave-past/,,17.0747,-61.8175,Precise,https://drive.google.com/drive/folders/13nE93S6sDodT_mrJnHj6976V_QRx4N2J?usp=share_link,Mike Dash January 2013?,,Muthi
